date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:57	7380/7380	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20Sep%202023%2016:10:59%20GMT	https://janezurevc.name/sites/default/files/js/js_aqVGgG3yWXVpCqcUA89567wg966dprjiTYAEs0Foq2M.js	./janezurevc.name/sites/default/files/js/js_aqVGgG3yWXVpCqcUA89567wg966dprjiTYAEs0Foq2M/index.js	(from https://janezurevc.name/about)
16:44:17	390/390	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Nov%202023%2015:43:55%20GMT	https://janezurevc.name/node/116	./janezurevc.name/node/116.47/index.delayed	(from https://janezurevc.name/get-in-touch)
16:44:35	674830/674830	---M--	200	added ('OK')	application/pdf	date:Thu,%2013%20Feb%202020%2015:11:55%20GMT	http://janezurevc.name/sites/default/files/cv_janez_urevc.pdf	./janezurevc.name/sites/default/files/cv_janez_urevc/index.pdf	(from https://janezurevc.name/about)
16:44:35	486/486	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Nov%202023%2015:44:17%20GMT	https://janezurevc.name/node/124	./janezurevc.name/node/124.48/index.delayed	(from https://janezurevc.name/real-time-auto-save-phoenix-liveview)
16:44:36	16884/16884	---MC-	200	added ('OK')	application/rss+xml	etag:%221695078717%22	https://janezurevc.name/taxonomy/term/66/feed	./janezurevc.name/taxonomy/term/66/feed/index.html	(from https://janezurevc.name/tags/elixir)
16:44:37	16892/16892	---MC-	200	added ('OK')	application/rss+xml	etag:%221695158901%22	https://janezurevc.name/taxonomy/term/65/feed	./janezurevc.name/taxonomy/term/65/feed/index.html	(from https://janezurevc.name/tags/bitqa)
16:44:37	14595/14595	---MC-	200	added ('OK')	application/rss+xml	etag:%221695151710%22	https://janezurevc.name/taxonomy/term/68/feed	./janezurevc.name/taxonomy/term/68/feed/index.html	(from https://janezurevc.name/tags/phoenix)
16:44:38	14596/14596	---MC-	200	added ('OK')	application/rss+xml	etag:%221695145800%22	https://janezurevc.name/taxonomy/term/69/feed	./janezurevc.name/taxonomy/term/69/feed/index.html	(from https://janezurevc.name/tags/liveview)
16:44:39	482/482	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Nov%202023%2015:44:39%20GMT	https://janezurevc.name/node/123	./janezurevc.name/node/123/index.html	(from https://janezurevc.name/bitqa-hackathon-finals-presentation)
16:44:40	2970/2970	---MC-	200	added ('OK')	application/rss+xml	etag:%221695171144%22	https://janezurevc.name/taxonomy/term/67/feed	./janezurevc.name/taxonomy/term/67/feed/index.html	(from https://janezurevc.name/tags/bsv)
16:44:41	402/402	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Nov%202023%2015:44:41%20GMT	https://janezurevc.name/node/122	./janezurevc.name/node/122/index.html	(from https://janezurevc.name/bitqa-interview)
16:44:42	570/570	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Nov%202023%2015:44:42%20GMT	https://janezurevc.name/node/114	./janezurevc.name/node/114/index.html	(from https://janezurevc.name/slovenian-drupal-community-celebrated-release-commerce-20)
16:44:43	15742/15742	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Mar%202018%2013:04:32%20GMT	https://janezurevc.name/sites/default/files/attached-files/logo_center-300x208.png	./janezurevc.name/sites/default/files/attached-files/logo_center-300x208/index.png	(from https://janezurevc.name/slovenian-drupal-community-celebrated-release-commerce-20)
16:44:44	74167/74167	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2013:04:32%20GMT	https://janezurevc.name/sites/default/files/attached-files/burger-paleta.jpg	./janezurevc.name/sites/default/files/attached-files/burger-paleta/index.jpg	(from https://janezurevc.name/slovenian-drupal-community-celebrated-release-commerce-20)
16:44:46	138292/138292	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2013:04:46%20GMT	https://janezurevc.name/sites/default/files/styles/content/public/attached-files/20170920_200057.jpg	./janezurevc.name/sites/default/files/styles/content/public/attached-files/20170920_200057/index.jpg	(from https://janezurevc.name/slovenian-drupal-community-celebrated-release-commerce-20)
16:44:47	142215/142215	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2013:04:46%20GMT	https://janezurevc.name/sites/default/files/styles/content/public/attached-files/20170920_201344(1).jpg	./janezurevc.name/sites/default/files/styles/content/public/attached-files/20170920_201344(1)/index.jpg	(from https://janezurevc.name/slovenian-drupal-community-celebrated-release-commerce-20)
16:44:48	134104/134104	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2013:04:46%20GMT	https://janezurevc.name/sites/default/files/styles/content/public/attached-files/20170920_193514.jpg	./janezurevc.name/sites/default/files/styles/content/public/attached-files/20170920_193514/index.jpg	(from https://janezurevc.name/slovenian-drupal-community-celebrated-release-commerce-20)
16:44:48	141649/141649	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2013:04:46%20GMT	https://janezurevc.name/sites/default/files/styles/content/public/attached-files/20170920_201344.jpg	./janezurevc.name/sites/default/files/styles/content/public/attached-files/20170920_201344/index.jpg	(from https://janezurevc.name/slovenian-drupal-community-celebrated-release-commerce-20)
16:44:49	93525/93525	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2013:04:46%20GMT	https://janezurevc.name/sites/default/files/styles/content/public/attached-files/20170920_191815.jpg	./janezurevc.name/sites/default/files/styles/content/public/attached-files/20170920_191815/index.jpg	(from https://janezurevc.name/slovenian-drupal-community-celebrated-release-commerce-20)
16:44:51	46195/46195	---MC-	200	added ('OK')	application/rss+xml	etag:%221695058804%22	https://janezurevc.name/taxonomy/term/14/feed	./janezurevc.name/taxonomy/term/14/feed/index.html	(from https://janezurevc.name/tags/drupal)
16:44:52	12930/12930	---MCZ	200	added ('OK')	text/html	etag:%221699890291%22	https://janezurevc.name/entity-browser-feature-freeze-will-happen-two-weeks	./janezurevc.name/entity-browser-feature-freeze-will-happen-two-weeks/index.html	(from https://janezurevc.name/tags/drupal)
16:44:53	13411/13411	---MCZ	200	added ('OK')	text/html	etag:%221699890292%22	https://janezurevc.name/join-us-next-drupal-media-sprint-mountain-camp-davos	./janezurevc.name/join-us-next-drupal-media-sprint-mountain-camp-davos/index.html	(from https://janezurevc.name/tags/drupal)
16:44:54	15050/15050	---MCZ	200	added ('OK')	text/html	etag:%221699890293%22	https://janezurevc.name/results-drupal-8-media-sprint	./janezurevc.name/results-drupal-8-media-sprint/index.html	(from https://janezurevc.name/tags/drupal)
16:44:54	90016/90016	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2013:04:30%20GMT	https://janezurevc.name/sites/default/files/attached-files/dmc.jpg	./janezurevc.name/sites/default/files/attached-files/dmc/index.jpg	(from https://janezurevc.name/tags/drupal)
16:44:56	17657/17657	---MCZ	200	added ('OK')	text/html	etag:%221699890295%22	https://janezurevc.name/tags/sprint	./janezurevc.name/tags/sprint/index.html	(from https://janezurevc.name/tags/drupal)
16:44:57	25816/25816	---MCZ	200	added ('OK')	text/html	etag:%221699890296%22	https://janezurevc.name/tags/drupal-8	./janezurevc.name/tags/drupal-8/index.html	(from https://janezurevc.name/tags/drupal)
16:44:58	31382/31382	---MCZ	200	added ('OK')	text/html	etag:%221699890297%22	https://janezurevc.name/tags/drupal?page=1	./janezurevc.name/tags/drupal/index1.html	(from https://janezurevc.name/tags/drupal)
16:44:58	490/490	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Nov%202023%2015:44:58%20GMT	https://janezurevc.name/node/112	./janezurevc.name/node/112/index.html	(from https://janezurevc.name/call-help-media-source-plugin-porting)
16:45:00	17288/17288	---MCZ	200	added ('OK')	text/html	etag:%221699890299%22	https://janezurevc.name/call-for-drupal-8-media-ecosystem-co-maintainers	./janezurevc.name/call-for-drupal-8-media-ecosystem-co-maintainers/index.html	(from https://janezurevc.name/call-help-media-source-plugin-porting)
